Name;Technique; req;Form;req;Level;Ritual;Special Requirements;Book;Page
Boundless Wealth of the Oceans;Cr;;An;;20;Ritual;;Trans. ME;117
Piercing Lance of Bone;Cr;;An;;20;;;L&tL;60
Repair Cracks and Tears;Cr;;An;;20;Ritual;;Covs;99
Sheering the Unseen Sheep;Cr;;An;;20;;;MoH;56
Soothe Pains of the Beast;Cr;;An;;20;Ritual;;ArM5;117
True Rest of the Injured Brute;Cr;;An;;20;;;ArM5;117
Worm of the Soil;Cr;;An;;20;;;MoH;82
Flight Perfected;Cr;;An;;25;;;MoH;82
Summoning the Creeping Death;Cr;;An;;25;;;HoH:S;34
Flight Divorced;Cr;;An;;30;;;MoH;82
Recruiting A Tiny Phalanx;Cr;Re;An;;30;;;MoH;12
Strength Extinguished;Cr;;An;;30;;;MoH;82
Sturdy Mantle of the Traveler;Cr;;An;;30;;;MoH;56
A Pile of Rotting Beef;Cr;;An;;35;;;Trans. ME;63
Harmonic Metamorphosis of the Beast;Cr;Mu;An;;35;;Hermetic Metamorphosis;MoH;83
Strength Renewed;Cr;;An;;35;;;MoH;82
Weaver's Trap of Webs;Cr;;An;;35;;;ArM5;117
Wizard's Mount, The;Cr;;An;;35;;;ArM5;117
Champion's Strength;Cr;;An;;40;Ritual;;BCoC;61
Mend the Broken Figure;Cr;;An;;40;Ritual;;BCoC;61
Venomous Velites;Cr;Re;An;;40;;;HoH:TL;139
Curse of the Ravenous Swarm;Cr;Re;An;;45;Ritual;;ArM5;117
Herd by Morning, A;Cr;;An;;50;;;Trans. ME;42
Twinning the Tome;Cr;In;An;Te;50;Ritual;Mutantum;HoH:TL;101
Conjuring the Magiacl Wolf;Cr;;An;Me Vi;60;Ritual;;Projects;126
Breath of Life Returned;Cr;;An;;80;Ritual;;Projects;130
Fashion the Ancient Worm;Cr;;An;"Co Ig Me  
Vi";80;Ritual;;Projects;127
Hurling the Droplet of Lye;Cr;;Aq;;3;;;Apprenties;46
Footsteps of Slippery Oil;Cr;;Aq;;5;;;ArM5;121
Dagger of Ice;Cr;Re;Aq;;10;;;HoH:S;35
Creeping Oil;Cr;;Aq;;15;;;ArM5;121
Lungs of Drowning;Cr;;Aq;Co;20;;;Projects;86
Mighty Torrent of Water;Cr;;Aq;;20;;;ArM5;121
Alchemist's Revenge;Cr;;Aq;;25;;;HoH:S;35
Rarefy the Crude Water;Cr;;Aq;;30;Ritual;;RoP:M;133
Deluge of Rushing and Dashing;Cr;;Aq;;40;;;ArM5;121
Adoration of the Magic Isle;Cr;;Aq;;50;Ritual;Magic Realm Magic;RoP:M;27
Air's Ghostly Form;Cr;;Au;;5;;;ArM5;125
Chamber of Spring Breezes;Cr;;Au;;5;;;ArM5;125
Jupiter's Tears;Cr;;Au;;5;;;Apprenties;47
Chamber of Summer Breezes;Cr;;Au;Ig;10;;;Covs;100
Jupiter's Resounding Blow;Cr;;Au;;10;;;ArM5;125
Stench of the Twenty Corpses;Cr;;Au;;10;;;ArM5;125
Wreaths of Foul Smoke;Cr;;Au;;10;;;ArM5;125
Bridge of Gnomes;Cr;;Au;;15;;;MoH;122
Broom of the Winds;Cr;;Au;;15;;;ArM5;125
Charge of the Angry Winds;Cr;;Au;;15;;;ArM5;125
Circling Winds of Protection;Cr;Re;Au;;20;;;ArM5;125
Clouds of Rain and Thunder;Cr;;Au;;25;;;ArM5;126
Clouds of Summer Snow;Cr;;Au;;25;;;ArM5;126
Catapult of the Mighty Winds;Cr;Re;Au;;30;;;HoH:S;35
Clouds of Obscuring Sand;Cr;;Au;;30;;;MoH;12
Pull of the Skybound Winds;Cr;;Au;;30;;;ArM5;126
Wings of the Soaring Wind;Cr;Re;Au;;30;;;ArM5;126
Incantation of Lightning, The;Cr;;Au;;35;;;ArM5;126
Breath of the Open Sky;Cr;;Au;;40;Ritual;;ArM5;126
Wrath of Whirling Winds and Water;Cr;;Au;;65;Ritual;;ArM5;126
Bind Wound;Cr;;Co;;10;;;ArM5;129
Charm Against Putrefaction;Cr;;Co;;10;;;ArM5;129
Conjure the Colossus;Cr;;Co;;15;Ritual;;Projects;117
Chirurgeon's Healing Touch, The;Cr;;Co;;20;Ritual;;ArM5;129
Crate a Dead turb;Cr;;Co;;20;Ritual;;Projects;116
Create a Human Corpse;Cr;;Co;;20;Ritual;;Projects;116
"For They are Life to Those Who Find Them and Healing to all  
Their Flesh";Cr;;Co;;20;Ritual;Holy Magic;Cont. Isle;67
Gentle Touch of the Purified Body;Cr;;Co;;20;Ritual;;ArM5;129
Pungent Potion of Ease;Cr;;Co;;20;;energy magic;HMRE;51
Purification of the Festering Wounds;Cr;;Co;;20;;;ArM5;129
Touch of the Blessed Virgin;Cr;;Co;;20;;;MoH;28
Ward the Cruel Touch of Pestilence;Cr;;Co;;20;;;HoH:S;100
Widening the River Styx;Cr;;Co;;20;Ritual;;MoH;20
Conjure a Dead Army;Cr;;Co;;25;Ritual;;Projects;116
Restoration of the Defiled Body;Cr;;Co;;25;Ritual;;ArM5;129
Severed Limb Made Whole, The;Cr;;Co;;25;Ritual;;ArM5;129
A Limb Bereft;Cr;Re;Co;;30;;;MoH;83
Blissful Sensations;Cr;;Co;;30;;;MoH;20
Cheating the Reaper;Cr;;Co;;30;Ritual;;ArM5;129
Conjure the Horde of the Dead;Cr;;Co;;30;Ritual;;Projects;116
Gentle Caress of Aesclepius;Cr;;Co;;30;;;HoH:S;100
Replenishing the Fount of the Magus;Cr;;Co;;30;;Path of Energy;GotF;39
Traveller's Respite;Cr;;Co;;30;Ritual;energy magic;HMRE;51
(Physical Characteristic) of the Followers;Cr;;Co;;35;Ritual;;HoH:TL;103
Artemis' Fertility;Cr;;Co;;40;;;MoH;20
Incantation of the Body Made Whole;Cr;;Co;;40;Ritual;;ArM5;129
Bestow the Blessing of Apollon;Cr;;Co;;50;Ritual;;MoH;21
conjurethe Walking Dead;Cr;;Co;;50;Ritual;;Projects;117
Incantation of the Warriors Made Whole;Cr;;Co;;50;Ritual;;MoH;21
Saoshant's Elixer;Cr;;Co;;50;Ritual;Holy Magic;RoP:D;117
(Physical Characteristic) of the Heroes;Cr;;Co;;60;Ritual;;HoH:TL;103
Blessing of Artemis' Fertility;Cr;;Co;;65;Ritual;;MoH;21
Shadow of Life Renewed, The;Cr;;Co;Me;75;Ritual;;ArM5;129
Apprentices Delight, The;Cr;;He;;3;;;Apprenties;45
Circle of Eternal Spring;Cr;;He;;4;;;MoH;38
Grow the Bountiful Feast;Cr;;He;;4;;;MoH;75
Conjure the Sturdy Vine;Cr;;He;;5;;;ArM5;135
Magic Flute, The;Cr;;He;;5;;;MoH;139
Clothe the Naked Form;Cr;;He;;10;;;MoH;58
Statim Sessio;Cr;;He;;10;;;MoH;30
Conjuration of Bread;Cr;;He;;15;Ritual;;LoM;116
Ladder of Ivy;Cr;;He;;15;;;MoH;38
Trap of the Entwining Vines;Cr;;He;;15;;;ArM5;135
Apple That Etches, The;Cr;;He;;20;Ritual;;Covs;96
Bridge of Wood;Cr;;He;;20;;;ArM5;135
Conjuration of Wild Thyme;Cr;;He;;20;;;A&A;66
Creation of Acorns Aplenty, The;Cr;;He;;20;Ritual;;Trans. ME;62
Creation of Verdant Grassland, The;Cr;;He;;20;Ritual;Listed in book as lvl 10;Trans. ME;62
Fill the Capacious Silo;Cr;;He;;20;Ritual;;Trans. ME;120
Heal Thy Broken Voice;Cr;;He;;20;;;MoH;139
Plant the Bountiful feast;Cr;;He;;20;Ritual;;MoH;75
Sprouting Out of Season;Cr;;He;;20;;;Covs;79
Traveler's Fortress of Cloth, The;Cr;;He;;20;;;MoH;58
Wall of Thorns;Cr;;He;;20;;;ArM5;135
Weaver's Trap of Threads;Cr;;He;;20;;;MoH;58
Wall of Living Wood;Cr;;He;;25;;;ArM5;135
Fast Grow;Cr;;He;;30;;;MoH;39
Running Repairs;Cr;;He;Te;30;Ritual;;Projects;65
Bountiful Feast, The;Cr;;He;;35;Ritual;;ArM5;135
Creation of a Forest, The;Cr;;He;;40;Ritual;;Trans. ME;62
Fortress of Oak;Cr;Mu;He;Te;40;Ritual;;MoH;39
Conjuration of the Seaworthy Cog;Cr;;He;Te;45;Ritual;;Projects;65
Reparation of the wounded Vessel;Cr;;He;Te;45;Ritual;;Projects;65
Wooden Horde, The;Cr;;He;;45;;Animae magic;ToP;122
Harvest by Morning, A;Cr;;He;;50;;;Trans. ME;41
Moonbeam;Cr;;Ig;;3;;;ArM5;139
Coat of Prometheus;Cr;;Ig;;5;;;MoH;110
Evening's Comfort;Cr;;Ig;;5;;;MoH;30
Palm of  Odorous Flame;Cr;;Ig;;5;;;MoH;30
Palm of Flame;Cr;;Ig;;5;;;ArM5;139
Repel Winter's Clutches;Cr;;Ig;;5;;;MoH;75
Searing Touch;Cr;;Ig;;5;;;Projects;84
Heat of the Searing Forge;Cr;;Ig;;10;;;ArM5;140
Lamp Without Flame;Cr;;Ig;;10;;;ArM5;140
Warmth of the Wood;Cr;;Ig;;10;;;MoH;40
Blade of the Virulent Flame;Cr;;Ig;;15;;;ArM5;140
Flash of the Scarlet Flames;Cr;;Ig;;15;;;ArM5;140
Ignite the Inflammable Item;Cr;;Ig;;15;;;BCoC;66
Mien of Helios;Cr;;Ig;;15;;;MoH;110
Test of the Flames;Cr;;Ig;;15;;;HoH:S;36
Welcome Addition of Sunlight, The;Cr;;Ig;;15;;;Covs;96
Fasting Hearth;Cr;;Ig;;20;;;MoH;110
Pilum of Fire;Cr;;Ig;;20;;;ArM5;140
Arc of Fiery Ribbons;Cr;;Ig;;25;;;ArM5;140
Coat of Flame;Cr;Re;Ig;;25;;;ArM5;140
Brilliance of the Eagles Plummage;Cr;;Ig;;30;;Sensory Magic;HoH:MC;29
Self Immolation;Cr;;Ig;;30;;;MoH;111
Ball of Abysmal Flame;Cr;;Ig;;35;;;ArM5;140
Circle of Encompassing Flames;Cr;;Ig;;35;;;ArM5;140
Stockade of Infernos;Cr;;Ig;;40;;;MoH;111
Conflagrative Servant;Cr;Re;Ig;;45;;;MoH;111
Conflagration of Light;Cr;;Ig;;50;;;BCoC;66
Dive of the Dying Phoenix;Cr;;Ig;;50;;;BCoC;66
Last Flight of the Phoenix;Cr;;Ig;;50;;;HoH:S;37
False Window;Cr;;Im;;5;;;HoH:S;68
Smoke of Escaping;Cr;;Im;;5;;;MoH;124
Studious Doppelganger, The;Cr;;Im;;5;;;Apprenties;47
Trigger the Distant Power;Cr;;Im;;5;;;MoH;91
Ager Belli;Cr;;Im;;10;;;Apprenties;58
Fooling the Eye;Cr;;Im;;10;;;HoH:S;68
Phantasm of the Talking Head;Cr;;Im;;10;;;ArM5;144
Silent Shout;Cr;;Im;;10;;;HoH:S;68
An Enemy Awash in the Pure Sigil of the Magus;Cr;;Im;;15;;;HoH:S;68
Book of Images;Cr;;Im;;15;;;MoH;124
Phantasmal Troupe;Cr;;Im;;15;;;MoH;22
Locus of the Literatus;Cr;;Im;;20;Ritual;Magic Realm Magic;RoP:M;27
Phantasmal Animal;Cr;;Im;;20;;;ArM5;144
Phantasmal Fire;Cr;;Im;Ig;20;;;ArM5;144
Told Story;Cr;;Im;;20;;Performance Magic;MoH;124
Veneficus Enigma;Cr;;Im;;20;;;MoH;30
First Furrow Guides the Second, The;Cr;In;Im;;25;;;"Covs /  
Trans. ME";97 / 100
Phantasm of the Human Form;Cr;;Im;;25;;;ArM5;144
Cage of Bronze;Cr;;Im;;30;;Glamour Magic;MoH;124
Oneiropomp's Treasure, The;Cr;;Im;;30;Ritual;Greater Dream Grimore;TMRE;109
Phantasmal Horse;Cr;;Im;;30;;Glamour Magic;MoH;124
Raise the Veronese Flag;Cr;;Im;;30;;;LoM;116
Eternal Repitition in a Bottomless Pool;Cr;;Im;;35;;;Covs;101
Haunt of the Living Ghost;Cr;In;Im;;35;;;ArM5;144
Story of Legend;Cr;;Im;;35;;Performance Magic;MoH;124
Doppelganger;Cr;;Im;Me;40;;Glamour Magic;MoH;124
Image of the Lady;Cr;;Im;Me;40;;Glamour Magic;MoH;124
Shadow of Human Life, The;Cr;;Im;Me;40;;;ArM5;144
To Mark With Umbrage;Cr;;Im;;40;;;HoH:TL;139
Garden of Eden;Cr;;Im;;45;;Glamour Magic;MoH;125
By His Work;Cr;;Me;;5;;;HoH:TL;73
Whispering Fingers;Cr;;Me;;5;;;Apprenties;48
Agnosia;Cr;;Me;;10;;;HoH:S;69
Words of the Unbroken Silence;Cr;;Me;;10;;;ArM5;148
All Heads Turn;Cr;;Me;;15;;;ToP;116
Catching the Eye;Cr;;Me;;15;;;MoH;92
Heart of the Lion;Cr;;Me;;15;;;HoH:S;37
Look at Me;Cr;;Me;;15;;;A&A;32
Panic of the Trembling Heart;Cr;;Me;;15;;;ArM5;148
Rising Ire;Cr;;Me;;15;;;ArM5;148
Rising Passion;Cr;;Me;;15;;;GotF;73
Welcome Stranger, The;Cr;;Me;;15;;;MoH;140
A Moment's Reflecetion;Cr;;Me;;20;;;A&A;35
Constructing the Memory Palace;Cr;;Me;;20;;;TMRE;27
Creation of an Undeserved Reputation;Cr;;Me;;20;;;HoH:S;70
Creation of the Simple;Cr;;Me;;20;;;HoH:S;69
Defend Me;Cr;;Me;;20;;;ToP;116
Enhance the Memory Palace;Cr;;Me;;20;;;TMRE;26
Far Speaking Voice, The;Cr;;Me;;20;;;HoH:S;97
Gossip of the Marketplace;Cr;Re;Me;;20;;;GotF;73
Memory of the Distant Dream;Cr;;Me;;20;;;ArM5;148
Orpheus' Ballad;Cr;;Me;;20;;;MoH;140
Pains of the Perpetual Worry;Cr;;Me;;20;;;ArM5;148
Scent of the Predator;Cr;;Me;;20;;Sensory Magic;HoH:MC;29
Subtle Burn of Desire, The;Cr;;Me;;20;;;ToP;117
Good Witness, The;Cr;;Me;;25;;;HoH:TL;73
Human Figment of the Wandering Mind;Cr;;Me;;25;;;A&A;32
Memory Palace of the Sage;Cr;;Me;;25;Ritual;;TMRE;27
My New Best Friend;Cr;;Me;;25;;;GotF;72
Night's Passsion, A;Cr;;Me;;25;;;ToP;117
Ob of Mot, The;Cr;;Me;;25;;Canaanite Necromancy;AncMag;32
Robed in Angelic Beauty;Cr;;Me;Im;25;;;MoH;30
To Sing of Good Meat and Drink;Cr;;Me;;25;;;MoH;141
Weight of a Thousand Hells;Cr;;Me;;25;;;ArM5;148
Unwelcoming Room, The;Cr;;Me;;30;;Hermetic Geometry;MoH;101
(Mental Characteristic) of the Followers;Cr;;Me;;35;Ritual;;HoH:TL;103
Gift of Reason;Cr;;Me;;35;Ritual;;ArM5;148
Irresistable Press Gang, The;Cr;;Me;;35;;;L&tL;84
Missive of Memory;Cr;;Me;;40;;;MoH;65
Distracted Turb, The;Cr;;Me;;45;;Animae magic;ToP;123
Instant Loyalty of the Rebellious Turb;Cr;;Me;;50;;;Covs;41
(Mental Characteristic) of the Heroes;Cr;;Me;;60;Ritual;;HoH:TL;103
Bind the Living Ghost;Cr;Pe,Re;Me;Co;"30+area  
size";Ritual;Living Ghost;TMRE;71
Poor Performer's Reward, The;Cr;;Te;;4;;;Apprenties;47
Breath of the Glassworker;Cr;;Te;;15;;;Projects;88
Seal the Earth;Cr;;Te;;15;;;ArM5;152
Sword from the Unseen Scabbard;Cr;;Te;;15;;;HoH:S;37
Basalt Cage;Cr;;Te;;20;Ritual;;Projects;24
Canals that Accommodate Seagoing Vessels;Cr;;Te;;20;Ritual;;Trans. ME;62
Creation of the Walls of Simple Cottages;Cr;;Te;;20;Ritual;;Trans. ME;61
Efficient and Permanent Wall of Protecting Stone;Cr;;Te;;20;Ritual;;Trans. ME;55
Network Reminiscent of Rome, A;Cr;;Te;;20;Ritual;;Trans. ME;60
Permanent Wall of Protecting Stone;Cr;;Te;;20;Ritual;;Trans. ME;55
Riches of Carthage, The;Cr;;Te;;20;Ritual;;ToP;126
Sculpt the Stone Machine;Cr;;Te;;20;Ritual;;Projects;19
Seal the Breach;Cr;;Te;;20;Ritual;Listed in book as lvl 15;LoM;116
Shattered Goblet, The;Cr;;Te;;20;Ritual;;Projects;88
Substance Over Form;Cr;Mu;Te;Me;20;;Greater Dream Grimore;TMRE;108
System of Narrow Canals, A;Cr;;Te;;20;Ritual;;Trans. ME;61
Thirsty Dagger, The;Cr;;Te;;20;Ritual;;Projects;88
Touch of Midas;Cr;;Te;;20;Ritual;;ArM5;153
Wealth of Croesus, The;Cr;;Te;;20;Ritual;;Trans. ME;117
Form the Hermetic Boundary;Cr;;Te;;25;;;MoH;75
Wall of Protecting Stone;Cr;;Te;;25;;;ArM5;153
An Expansive and Permanent Wall of Protecting Stone;Cr;;Te;;30;Ritual;;Trans. ME;55
Creation of a Legion of Appointed Cottages;Cr;;Te;;30;Ritual;;Trans. ME;61
Creation of a Well-Appointed Town;Cr;;Te;;30;Ritual;;Trans. ME;61
Silvery Scales of the Knight;Cr;;Te;An;30;;;HoH:S;37
A Simple Method for Rapid Vallation;Cr;;Te;;35;;;HoH:TL;141
Bring Forth the Lord of Knives;Cr;;Te;;35;;Animae magic;ToP;123
Conjuring the Mystic Tower;Cr;;Te;;35;Ritual;;ArM5;153
Craft the Mechanism;Cr;In;Te;;35;Ritual;;TMRE;52
Duplicate the Mechanism;Cr;In;Te;;35;Ritual;;TMRE;52
Necessary Monolith;Cr;;Te;;35;;;AtD;31
Quarryman's Gift of (Stone), the;Cr;;Te;;35;Ritual;;Projects;40
Riches That Are Rightfully Mine(d), The;Cr;;Te;;35;;;Covs;61
Wedding Ring of Gaea, The;Cr;;Te;;35;Ritual;;Trans. ME;55
Conjuring the Great Tower;Cr;;Te;;45;Ritual;;Projects;39
Laboratory of Bonisagus, The;Cr;;Te;;45;Ritual;;Covs;122
Heights of the Great Tower;Cr;;Te;;50;Ritual;;Projects;40
Tear the Earth Assunder;Cr;;Te;;65;Ritual;;Projects;13
Heady Rush of Magic;Cr;;Vi;;5;;;ToP;123
Fading Star of Evening;Cr;;Vi;;15;;;Projects;86
Kiss of the Enigma;Cr;;Vi;;15;;;MoH;83
Phantom Gift, The;Cr;;Vi;;15;;;ArM5;157
Plucking the Hair From the Billy Goat's Chin;Cr;;Vi;;20;;;RoP:TI;121
Mercury's Blessing;Cr;;Vi;;25;Ritual;;HoH:TL;103
Enigma's Gift, The;Cr;;Vi;;30;;;ArM5;157
Great Discord, The;Cr;;Vi;;55;Ritual;;The Church;42
Neriusian Portal;Cr;;Vi;;65;Ritual;Holy Magic;RoP:D;94
(Immortal)'s Blessing;Cr;;Vi;;Gen;;Holy Magic;RoP:D;117
Faerie Chains of the Familiar Slave;Cr;;Vi;;Gen;;Faerie Magic;HoH:MC;90
Fanning the Infernal Flames;Cr;;Vi;;Gen;;;RoP:TI;121
Feeding the Font of the Covenant;Cr;;Vi;;Gen;Ritual;;RoP:M;14
Restore the Faded Threads;Cr;;Vi;;Gen;;;HoH:TL;74
Shell of False Determinations;Cr;;Vi;;Gen;Ritual;;ArM5;157
Shell of Opaque Mysteries;Cr;;Vi;;Gen;Ritual;;ArM5;157
Stratifying the Subtile Realities;Cr;;Vi;;Gen;Ritual;;RoP:M;14
Transformation of the Ascendant Heirarch;Cr;;Vi;;Gen;Ritual;Ascending to the Hall of Heroes;TMRE;84
Image of the Beast;In;;An;;5;;;ArM5;117
Sense the Sleeping Hound;In;;An;;5;;;Apprenties;47
Shiver of the Lycanthrope;In;;An;;10;;;ArM5;118
A Simple Test For the Completeness of Books;In;;An;He;15;;;Covs;100
Numbering the Flock;In;;An;;20;;;TMRE;93
Books That Scream in Pain;In;;An;He;25;;;Covs;100
Determine the Location of the Absent Volume;In;;An;Im;25;;;Covs;100
Opening the Tome of the Animal's Mind;In;;An;;25;;;ArM5;118
Determine the Location of the Absent Volume;In;Cr;An;Im;30;;;Covs;100
Hunter's Sense;In;;An;;30;;;ArM5;118
Eyes of Every Beast, The;In;;An;;40;Ritual;;Trans. ME;74
To See as Others See;In;Re;An;;45;;;HoH:TL;139
Clear Sight of the Naiad;In;;Aq;;5;;;ArM5;122
Subtle Taste of Poison and Purity;In;;Aq;;5;;;ArM5;122
Test of Fastness and Fading;In;;Aq;;5;;;Covs;96
Touch of the Pearls;In;;Aq;;5;;;ArM5;122
Call of the Rushing Waters;In;;Aq;;15;;;ArM5;122
Sense the Tide's Boundaries;In;;Aq;;25;;;MoH;75
Voice of the Lake;In;;Aq;;25;;;ArM5;122
Enchantment of the Scrying Pool;In;;Aq;Im;30;Ritual;;ArM5;122
Scent of Ash;In;;Au;;15;;;Projects;12
True Sight of the Air;In;;Au;;15;;;ArM5;127
Whispering Winds;In;;Au;;15;;;ArM5;127
Sailor's Foretaste of the Morrow;In;;Au;;20;;;ArM5;127
See the Paths Through the Void;In;;Au;;20;;Magic Realm Magic;RoP:M;27
Eyes of the Bat;In;;Au;;25;;;ArM5;127
Cnvergence of Place;In;;Co;;4;;;Projects;91
Physician's Sense;In;;Co;;4;;;Apprenties;47
Midwife's Eye;In;;Co;;5;;Fertility Magic;AncMag;56
Physician's Eye;In;;Co;;5;;;ArM5;130
Pose Clotho's Question;In;;Co;;5;;;MoH;21
Sense of the Loadstone;In;;Co;;5;;;Projects;84
Convergence of Birth;In;;Co;;10;;;Projects;90
Evaluate the Facing Opponent;In;;Co;;10;;;MoH;131
Parental Inquisitiveness;In;;Co;;10;;;MoH;21
Pose Nona's Question;In;;Co;;10;;;MoH;21
Revealed Flaws of Mortal Flesh;In;;Co;;10;;;ArM5;130
Significance of the Group, The;In;;Co;;10;;;TMRE;93
Genethlialogical Investigation, The;In;;Co;;15;;;A&A;72
Maculate Noblewoman, The;In;;Co;;15;;;MoH;21
Numbering the Host;In;;Co;;15;;;TMRE;93
Verifying the Presence of Artemis' Blessing;In;;Co;;15;;;MoH;22
Whispers Through the Black Gate;In;;Co;Me;15;;;ArM5;130
Divining the True Heir;In;;Co;;20;;;Trans. ME;44
Energy Sense;In;;Co;Me;20;;energy magic;HMRE;51
Inexorable Search, The;In;;Co;;20;;;ArM5;131
Pull of Blood;In;;Co;;20;;Faerie Magic;MoH;65
Whole From the Part, The;In;;Co;;20;;;HoH:TL;72
Sight of the Molting Magus;In;;Co;;25;;;HoH:TL;72
Draw on Diana's Hounds;In;;Co;;30;Ritual;Defixio Magic;AncMag;45
Eye of the Sage, The;In;;Co;Im;30;;;ArM5;131
From This Line Descended;In;;Co;;30;;;Trans. ME;44
Sight of the True Form;In;;Co;;Gen;;;ArM5;130
Probe Nature's Hidden Lore;In;;He;;4;;;ArM5;136
Hunt for the Wild Herb;In;;He;;5;;;ArM5;136
Intuition of the Forest;In;;He;;10;;;ArM5;136
Carpenter's Keen Eye, The;In;;He;;15;;;Covs;51
Shriek of the Impending Shafts;In;;He;;15;;;ArM5;136
Converse with Plant and Tree;In;;He;;25;;;ArM5;136
Comprehending the Mystc Doorway;In;;He;;30;;Magic Realm Magic;RoP:M;27
Tales of the Ashes;In;;Ig;;5;;;ArM5;141
Shadows of the Fires Past;In;;Ig;;15;;;ArM5;141
Vision of Heat's Light;In;;Ig;;20;;;ArM5;141
Sense the Hearts of Fire;In;;Ig;;30;;;Projects;25
Eyes of the Flame;In;;Ig;;35;;;ArM5;141
Words of the Flickering Flame;In;;Ig;;35;;;ArM5;141
Fingers for Eyes;In;;Im;;5;;;Projects;84
Prying Eyes;In;;Im;;5;;;ArM5;144
Spy the Approaching Grog;In;;Im;;5;;;MoH;30
Traveler's  Foresight;In;;Im;;5;;Faerie Magic;MoH;125
Brushstrokes Revealed, The;In;;Im;;10;;;HoH:S;65
An Ear for Distant Bells;In;;Im;;15;;;L&tL;15
Discern Own Illusions;In;;Im;;15;;;ArM5;145
Ear for Distant Voices, The;In;;Im;;20;;;ArM5;145
Eyes of the Eagle;In;;Im;;25;;;ArM5;145
Summoning the Distant Image;In;;Im;;25;;;ArM5;145
To See as Through a Plethron Distant;In;;Im;;25;;;MoH;101
Sight of the Blossom Ears of the Oak;In;;Im;;30;;;MoH;40
Discern the Images of Truth and Falsehood;In;;Im;;Gen;;;ArM5;144
Discerning Eye, The;In;;Im;;Gen;;;HoH:TL;72
Breath of the Sleeper;In;;Me;;5;;;Projects;84
Sight of the Transparent Motive;In;;Me;;10;;;ArM5;148
Perception of the Conflicting Motives;In;;Me;;15;;;ArM5;149
Anat's Search in the Miry abyss;In;;Me;;20;;Canaanite Necromancy;AncMag;32
Factor's Role Call, The;In;;Me;;20;;;MoH;92
Frosty Breath of the Spoken Lie;In;;Me;;20;;;ArM5;149
Perceive the Eyes of Knives;In;;Me;;20;;;GotF;21
Posing the Silent Question;In;;Me;;20;;;ArM5;149
Reveal the Lingering Spirit;In;;Me;;20;;;HoH:TL;14
Thoughts Within Babble;In;;Me;;25;;;ArM5;149
Betraying Whispers of the Jealous Mind;In;;Me;;30;;;HoH:S;98
Borrow the Eyes of Another;In;;Me;;30;;;A&A;33
Ear of Truth;In;;Me;;30;;;HoH:TL;73
Familial Secrets;In;;Me;;30;;Faerie Magic;MoH;66
Peering into the Mortal Mind;In;;Me;;30;;;ArM5;149
Revelation of a Hundred Sinful Thoughts;In;;Me;;30;;;ToP;116
Scent of Loose Purses;In;;Me;;30;;;MoH;66
See the Spirits of the Night;In;;Me;;30;;;AncMag;50
Stench of Hate;In;;Me;;30;;;MoH;66
Thoughts Within Speech;In;;Me;;30;;;MoH;30
Tread of Fellow Travelers;In;;Me;;30;;Faerie Magic;MoH;66
Oath Breaker's Confession;In;;Me;;35;;Faerie Magic;MoH;67
Opinions of the Masses;In;;Me;;35;;;MoH;67
Probe for Pure Silver;In;;Te;;4;;;ArM5;153
Eyes of the Eons;In;;Te;;10;;;ArM5;153
Eyes of the Treacherous Terrain;In;;Te;;15;;;ArM5;153
Sense the True Path;In;;Te;;15;;Mutantum;HoH:TL;102
